SF temp,SF max temp,SF min temp,SF precipitation,SF wind,SF gust wind,Rovaniemi temp,Rovaniemi max temp,Rovaniemi min temp,Rovaniemi precipitation,Rovaniemi wind,Rovaniemi gust wind,Melbourne temp,Melbourne max temp,Melbourne min temp,Melbourne precipitation,Melbourne wind,Melbourne gust wind
50,56,44,8.65,9,32,16,31,-15,0,11,36,69,81,57,0.46,10,32
55,60,49,7.09,10,28,15,34,4,0,8,27,67,79,54,0.59,11,32
57,64,50,2.96,10,27,24,35,14,0,10,29,69,81,57,0.53,10,30
59,66,51,2.2,12,27,28,38,20,0,10,33,60,68,51,1.7,10,34
61,70,52,0,15,30,37,42,31,0,9,24,53,61,44,0.56,10,32
63,71,55,0.05,15,29,51,59,44,0,9,27,49,57,41,0.42,9,32
64,73,55,0,13,27,59,66,52,0,7,27,48,56,40,0.43,15,34
66,73,59,0,12,25,54,60,48,0,9,28,49,57,41,0.96,13,36
70,79,60,0.22,10,26,45,50,41,0,8,26,53,63,44,0.8,15,34
65,75,54,0.21,8,27,33,36,31,0.77,8,27,58,69,47,0.76,11,34
58,64,52,2.77,6,25,24,28,19,1.22,10,28,66,79,54,1.73,10,31
52,59,44,0.07,5,27,16,22,11,1.19,9,36,66,77,54,3.39,10,31
